Loading model from train_sessions\train_sess_1\trained_models\lenet_pruned_1420step_0.9481accuracy.torchmodel
Initial accuracy = 0.9462
Pruning Threshold = 0.30220787320286036
Number of pruned params = 4353 out of 61706 total params
Fraction of params pruned = 7.054419343337763%
Fraction of zero params = 93.3215570609017%
Accuracy after pruning = 0.3191
Iter 162, loss = 1.7433699369430542
Iter 163, loss = 1.8160514831542969
Iter 164, loss = 1.5647646188735962
Iter 165, loss = 1.6859371662139893
Iter 166, loss = 1.6260045766830444
Iter 167, loss = 1.9392402172088623
Iter 168, loss = 1.7056101560592651
Iter 169, loss = 1.7757097482681274
Iter 170, loss = 1.819483757019043
Iter 171, loss = 1.8295291662216187
Iter 172, loss = 1.792258858680725
Iter 173, loss = 1.6846462488174438
Iter 174, loss = 1.7947465181350708
Iter 175, loss = 1.8738211393356323
Iter 176, loss = 1.559424638748169
Iter 177, loss = 1.8386074304580688
Iter 178, loss = 1.7601813077926636
Iter 179, loss = 1.7000921964645386
Iter 180, loss = 1.5623559951782227
Iter 181, loss = 1.669211506843567
Iter 182, loss = 1.5720670223236084
Iter 183, loss = 1.6697393655776978
Iter 184, loss = 1.9658713340759277
Iter 185, loss = 1.706372618675232
Iter 186, loss = 1.849719524383545
Iter 187, loss = 1.6555777788162231
Iter 188, loss = 1.7543506622314453
Iter 189, loss = 1.5683791637420654
Iter 190, loss = 1.706809163093567
Iter 191, loss = 1.4154136180877686
Iter 192, loss = 1.8038747310638428
Iter 193, loss = 1.7731667757034302
Iter 194, loss = 1.8460164070129395
Iter 195, loss = 1.7618956565856934
Iter 196, loss = 1.5444096326828003
Iter 197, loss = 1.8143495321273804
Iter 198, loss = 1.8106391429901123
Iter 199, loss = 1.9955658912658691
Iter 200, loss = 1.4445514678955078
Iter 201, loss = 1.7363576889038086
Iter 202, loss = 1.8701972961425781
Iter 203, loss = 1.942121148109436
Iter 204, loss = 1.6594853401184082
Iter 205, loss = 1.8043967485427856
Iter 206, loss = 1.5318454504013062
Iter 207, loss = 1.81558358669281
Iter 208, loss = 1.6457562446594238
Iter 209, loss = 1.9659212827682495
Iter 210, loss = 1.7173137664794922
Iter 211, loss = 1.7518788576126099
Iter 212, loss = 1.6174044609069824
Iter 213, loss = 1.558853030204773
Iter 214, loss = 1.8196215629577637
Iter 215, loss = 1.6319626569747925
Iter 216, loss = 1.883281946182251
Iter 217, loss = 1.706217885017395
Iter 218, loss = 1.719353437423706
Iter 219, loss = 1.7436293363571167
Iter 220, loss = 1.6210334300994873
Iter 221, loss = 1.7103750705718994
Iter 222, loss = 1.8514351844787598
Iter 223, loss = 1.5914238691329956
Iter 224, loss = 1.773542881011963
Iter 225, loss = 1.6192787885665894
Iter 226, loss = 1.8129370212554932
Iter 227, loss = 1.5726817846298218
Iter 228, loss = 1.704120397567749
Iter 229, loss = 1.7244616746902466
Iter 230, loss = 1.670261263847351
Iter 231, loss = 1.9424495697021484
Iter 232, loss = 1.9621676206588745
Iter 233, loss = 1.8100574016571045
Iter 234, loss = 1.6627238988876343
