Loading model from train_sessions\train_sess_3\trained_models\lenet_pruned_1780step_0.8678accuracy.torchmodel
Initial accuracy = 0.8646
Pruning Threshold = 0.3041111882776022
Number of pruned params = 37 out of 61706 total params
Fraction of params pruned = 0.059961754124396326%
Fraction of zero params = 94.89514795967978%
Accuracy after pruning = 0.8562
Iter 0, loss = 0.32829749584198
Iter 1, loss = 0.35845622420310974
Iter 2, loss = 0.4642583727836609
Iter 3, loss = 0.550764262676239
Iter 4, loss = 0.498226135969162
Iter 5, loss = 0.39009931683540344
Iter 6, loss = 0.47537219524383545
Iter 7, loss = 0.44507676362991333
Iter 8, loss = 0.5144490599632263
Iter 9, loss = 0.5043386816978455
Iter 10, loss = 0.5050808787345886
Iter 11, loss = 0.30081456899642944
Iter 12, loss = 0.46886804699897766
Iter 13, loss = 0.4933866858482361
Iter 14, loss = 0.44561344385147095
Iter 15, loss = 0.49396881461143494
Iter 16, loss = 0.4003109037876129
Iter 17, loss = 0.5776522755622864
Iter 18, loss = 0.35008686780929565
Iter 19, loss = 0.3839842975139618
Iter 20, loss = 0.42018184065818787
Iter 21, loss = 0.3971611559391022
Iter 22, loss = 0.46560871601104736
Iter 23, loss = 0.516854465007782
Iter 24, loss = 0.3673674166202545
Iter 25, loss = 0.4978468418121338
Iter 26, loss = 0.37782934308052063
Iter 27, loss = 0.46071794629096985
Iter 28, loss = 0.34620246291160583
Iter 29, loss = 0.3353201150894165
Iter 30, loss = 0.4400182366371155
Iter 31, loss = 0.5074301362037659
Iter 32, loss = 0.5769990682601929
Iter 33, loss = 0.43232735991477966
Iter 34, loss = 0.5259122252464294
Iter 35, loss = 0.26732826232910156
Iter 36, loss = 0.3188520669937134
Iter 37, loss = 0.5016323924064636
Iter 38, loss = 0.4476620852947235
Iter 39, loss = 0.5350333452224731
Iter 40, loss = 0.7475912570953369
Iter 41, loss = 0.30473628640174866
Iter 42, loss = 0.3213879466056824
Iter 43, loss = 0.48333409428596497
Iter 44, loss = 0.4963798522949219
Iter 45, loss = 0.43645986914634705
Iter 46, loss = 0.6067261695861816
Iter 47, loss = 0.39095526933670044
Iter 48, loss = 0.31825944781303406
Iter 49, loss = 0.4561479091644287
Iter 50, loss = 0.6298217177391052
Iter 51, loss = 0.2456275224685669
Iter 52, loss = 0.44922611117362976
Iter 53, loss = 0.45617473125457764
Iter 54, loss = 0.2549654245376587
Iter 55, loss = 0.4891379773616791
Iter 56, loss = 0.5150258541107178
Iter 57, loss = 0.38689160346984863
Iter 58, loss = 0.7245004177093506
Iter 59, loss = 0.4532812237739563
Iter 60, loss = 0.31029951572418213
Iter 61, loss = 0.5704028010368347
Iter 62, loss = 0.4549407660961151
Iter 63, loss = 0.4349447786808014
Iter 64, loss = 0.48689723014831543
Iter 65, loss = 0.4459488093852997
Iter 66, loss = 0.35222119092941284
Iter 67, loss = 0.5529778003692627
Iter 68, loss = 0.40205708146095276
Iter 69, loss = 0.4561704695224762
Iter 70, loss = 0.2824716567993164
Iter 71, loss = 0.3907155394554138
Iter 72, loss = 0.31624889373779297
Iter 73, loss = 0.515937328338623
Iter 74, loss = 0.4540404975414276
Iter 75, loss = 0.3948850631713867
Iter 76, loss = 0.3417453467845917
Iter 77, loss = 0.46624913811683655
Iter 78, loss = 0.49808594584465027
Iter 79, loss = 0.39255955815315247
Iter 80, loss = 0.40899601578712463
Iter 81, loss = 0.50257807970047
Iter 82, loss = 0.4977199137210846
Iter 83, loss = 0.4518122375011444
Iter 84, loss = 0.4877142012119293
Iter 85, loss = 0.5469693541526794
Iter 86, loss = 0.3898681700229645
Iter 87, loss = 0.41720259189605713
Iter 88, loss = 0.3870473802089691
Iter 89, loss = 0.33957576751708984
Iter 90, loss = 0.4675876498222351
Iter 91, loss = 0.5481712222099304
Iter 92, loss = 0.31620529294013977
Iter 93, loss = 0.6648564338684082
Iter 94, loss = 0.5834689736366272
Iter 95, loss = 0.26876845955848694
Iter 96, loss = 0.4157582223415375
Iter 97, loss = 0.5260529518127441
Iter 98, loss = 0.4517315626144409
Iter 99, loss = 0.44871750473976135
Iter 100, loss = 0.2698313891887665
Iter 101, loss = 0.3727795481681824
Iter 102, loss = 0.27896496653556824
Iter 103, loss = 0.5055581331253052
Iter 104, loss = 0.5156800150871277
Iter 105, loss = 0.3531392216682434
Iter 106, loss = 0.5646050572395325
Iter 107, loss = 0.2738960385322571
Iter 108, loss = 0.6300839185714722
Iter 109, loss = 0.45578593015670776
Iter 110, loss = 0.4032556116580963
Iter 111, loss = 0.519402265548706
Iter 112, loss = 0.47835761308670044
Iter 113, loss = 0.7108014225959778
Iter 114, loss = 0.35819709300994873
Iter 115, loss = 0.41620609164237976
Iter 116, loss = 0.461789071559906
Iter 117, loss = 0.3473292887210846
